,3_23_share,1_18_share,1_11_share,1_3_share,1_17_share,1_9_share,1_27_share,3_8_share,1_4_share,3_3_share,1_16_share,1_2_share,1_8_share,1_19_share,3_15_share,1_5_share,3_6_share,1_15_share,1_13_share,3_1_share,1_14_share,3_7_share,1_7_share,1_6_share,1_10_share,1_12_share,1_23_share,3_2_share,1_1_share,hot_share,3_23_comment,1_18_comment,1_11_comment,1_3_comment,1_17_comment,1_9_comment,1_27_comment,3_8_comment,1_4_comment,3_3_comment,1_16_comment,1_2_comment,1_8_comment,1_19_comment,3_15_comment,1_5_comment,3_6_comment,1_15_comment,1_13_comment,3_1_comment,1_14_comment,3_7_comment,1_7_comment,1_6_comment,1_10_comment,1_12_comment,1_23_comment,3_2_comment,1_1_comment,hot_comment,3_23_collect,1_18_collect,1_11_collect,1_3_collect,1_17_collect,1_9_collect,1_27_collect,3_8_collect,1_4_collect,3_3_collect,1_16_collect,1_2_collect,1_8_collect,1_19_collect,3_15_collect,1_5_collect,3_6_collect,1_15_collect,1_13_collect,3_1_collect,1_14_collect,3_7_collect,1_7_collect,1_6_collect,1_10_collect,1_12_collect,1_23_collect,3_2_collect,1_1_collect,hot_collect,3_23_deep_view,1_18_deep_view,1_11_deep_view,1_3_deep_view,1_17_deep_view,1_9_deep_view,1_27_deep_view,3_8_deep_view,1_4_deep_view,3_3_deep_view,1_16_deep_view,1_2_deep_view,1_8_deep_view,1_19_deep_view,3_15_deep_view,1_5_deep_view,3_6_deep_view,1_15_deep_view,1_13_deep_view,3_1_deep_view,1_14_deep_view,3_7_deep_view,1_7_deep_view,1_6_deep_view,1_10_deep_view,1_12_deep_view,1_23_deep_view,3_2_deep_view,1_1_deep_view,hot_deep_view,3_23_view,1_18_view,1_11_view,1_3_view,1_17_view,1_9_view,1_27_view,3_8_view,1_4_view,3_3_view,1_16_view,1_2_view,1_8_view,1_19_view,3_15_view,1_5_view,3_6_view,1_15_view,1_13_view,3_1_view,1_14_view,3_7_view,1_7_view,1_6_view,1_10_view,1_12_view,1_23_view,3_2_view,1_1_view,hot_view
10674201,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,0.124069,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,0.124069,-0.015858444,-0.015858444,0.263996443,-0.015858444,0.543851329,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,0.683778772,0.263996443,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,-0.015858444,0.124069,0.124069
15139767,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,0.262661813,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,0.262661813,-0.012857571,-0.012857571,0.813700582,-0.012857571,-0.012857571,0.400421505,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,0.124902121,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571,-0.012857571
16319878,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,0.439696865,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,0.439696865,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,0.439696865,-0.015161961,-0.015161961,-0.015161961,0.439696865,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,0.439696865,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961,-0.015161961
11812828,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,0.174522059,0.362855216,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,0.739521531,-0.013811098,-0.013811098,0.362855216,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,0.362855216,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098,-0.013811098
11654761,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,0.996661093,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001,-0.006689001
15691970,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,0.966808912,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,0.235608894,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445,-0.008124445
12220024,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,0.27827094,0.572219115,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,0.572219115,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,0.27827094,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,0.27827094,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,-0.015677236,0.27827094
14392713,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,0.945305705,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,0.309449849,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078,-0.008478078
2872029,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,0.718777543,-0.013838299,-0.013838299,0.352469622,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,0.230366981,-0.013838299,0.474572262,0.230366981,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299,-0.013838299
15784741,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,0.890844116,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,-0.008998425,0.440922845,-0.008998425,-0.008998425,-0.008998425
