,0
10674201,0
15139767,0
16319878,0
11812828,0
11654761,0
15691970,0
12220024,0
14392713,0
2872029,0
15784741,0
16753608,0
12070750,0
15828825,0
12836206,0
3739653,0
8686801,0
8990806,0
1904514,0
4580436,0
9275525,0
10338435,0
11471464,0
3828137,0
6992500,0
12274744,0
7792753,0
15095585,0
12814862,0
12961934,0
10537695,0
4291094,0
15774884,0
16764389,0
6473369,0
9597139,0
263282,0
15325694,0
6311243,0
12076668,0
7361101,0
16521865,0
13258357,0
9279357,0
2508194,0
14875014,0
10476254,0
9821744,0
12097536,0
2863223,0
6141295,0
9737279,0
7222308,0
623491,0
7082453,0
15883097,0
14988826,0
13295787,0
10056926,0
10910136,0
13418085,0
16571347,0
16792059,0
14423689,0
8156316,0
15097160,0
13914195,0
15194983,0
2201178,0
13397746,0
12773772,0
5898529,0
15705333,0
8239330,0
12140488,0
11470603,0
5508858,0
12646404,0
10428272,0
8764741,0
13808426,0
13347829,0
12223885,0
9307169,0
1060536,0
16668775,0
15716632,0
16430640,0
15342663,0
1811814,0
11243092,0
15851650,0
10860962,0
8432959,0
5265631,0
4237791,0
14988381,0
6801241,0
9211161,0
13395756,0
8918357,0
8093821,0
13645708,0
2415271,0
15178085,0
1014115,0
15993887,0
12735779,0
14380472,0
15219309,0
12184545,0
12933229,0
16735532,0
12808643,0
15760554,0
3546616,0
11083441,0
14149174,0
12057059,0
14957562,0
5594675,0
10656352,0
6789152,0
13414438,0
2679186,0
5466975,0
16609289,0
10923030,0
6565504,0
2743638,0
14514740,0
12308217,0
253515,0
13344561,0
2728875,0
150740,0
3975478,0
16131594,0
14224649,0
9233181,0
16612844,0
13623471,0
5132332,0
7844700,0
10402611,0
12505532,0
8107505,0
14436295,0
8584609,0
15248184,0
348449,0
14214991,0
15926771,0
15745735,0
2432545,0
16021787,0
10663381,0
1493976,0
16365509,0
16394891,0
16449189,0
12995738,0
13150838,0
13339625,0
16117357,0
3385572,0
12758595,0
15445248,0
15002541,0
5886143,0
14734294,0
14905603,0
16539037,0
14072445,0
9391042,0
11482147,0
8360012,0
15286791,0
13460382,0
4752083,0
13462324,0
15334530,0
660583,0
7912128,0
16041272,0
14746021,0
12618054,0
6177425,0
10540495,0
11485328,0
14346999,0
15113251,0
12702135,0
16823916,0
14571025,0
11476563,0
7912127,0
161430,0
10588325,0
3985594,0
6786897,0
15955136,0
15001181,0
10373121,0
16341763,0
2235142,0
3904697,0
14314786,0
13384484,0
15775347,0
16748319,0
12665279,0
14730037,0
11743258,0
2340872,0
12539715,0
13547254,0
12579833,0
16015266,0
11990167,0
12937486,0
5810237,0
15939548,0
10474440,0
438737,0
13883873,0
12653597,0
14316589,0
16596447,0
3605655,0
16361853,0
15121413,0
3639701,0
8752706,0
16819429,0
11635407,0
14245701,0
3262614,0
2679934,0
3425316,0
14236154,0
10354131,0
16024404,0
13940093,0
7638340,0
15504285,0
4672467,0
14254225,0
14625171,0
9166981,0
12062899,0
1452627,0
9214572,0
14819302,0
12958093,0
16401821,0
4700787,0
13660288,0
9630642,0
16351976,0
15174521,0
10544890,0
13142960,0
13156768,0
12468597,0
3646482,0
5837867,0
10900712,0
16810242,0
9621081,0
16274616,0
11199378,0
5506291,0
12149701,0
3919048,0
2599867,0
270573,0
15586652,0
16394112,0
5345711,0
12794434,0
12259823,0
154000,0
15621915,0
13086644,0
735279,0
16713795,0
4100320,0
12825606,0
16588091,0
10531185,0
16817560,0
14350170,0
11335475,0
14501940,0
13178534,0
15003568,0
4752082,0
16260350,0
14280126,0
11735789,0
14798514,0
15004500,0
12825701,0
454815,0
15429018,0
163020,0
14019299,0
4044322,0
15129333,0
16678218,0
507586,0
14329831,0
6040346,0
7500423,0
9638265,0
3036643,0
13185650,0
16824248,0
4687482,0
2472319,0
11722201,0
16243453,0
13226933,0
5128649,0
12773775,0
16699337,0
11131195,0
15576717,0
5783774,0
6631342,0
15816973,0
15163953,0
11559359,0
16470315,0
7929501,0
11058148,0
16330535,0
801937,0
276854,0
14200099,0
13372061,0
14340215,0
13843025,0
14295771,0
2882887,0
7271404,0
12799141,0
14047369,0
14217185,0
6033551,0
15939445,0
2840230,0
15220161,0
7288295,0
15512010,0
16106384,0
15845679,0
15308053,0
11416662,0
12991338,0
11372539,0
3510343,0
14296560,0
15894888,0
14963415,0
15401530,0
11700388,0
12194300,0
171727,0
11695339,0
9169249,0
12980364,0
12721983,0
16116729,0
11415004,0
15425636,0
16601753,0
8858385,0
15280468,0
11182582,0
11187025,0
2704221,0
14670941,0
13347282,0
10469978,0
2810659,0
7583567,0
12799398,0
10748748,0
4262003,0
11739867,0
11901139,0
6595917,0
16251860,0
8106710,0
7339521,0
16493727,0
5003374,0
13754490,0
11973106,0
7160870,0
7189372,0
136997,0
16415520,0
15634354,0
5778148,0
12965695,0
3110323,0
10751109,0
12899085,0
4847758,0
4173099,0
10275537,0
15068441,0
16524541,0
11352404,0
13935451,0
4657318,0
6332392,0
16544387,0
15629511,0
5792633,0
15618636,0
10884670,0
13813820,0
16110654,0
11313384,0
1729671,0
10214107,0
10443604,0
15754077,0
11922615,0
2762630,0
9797753,0
14399221,0
2226907,0
14021193,0
3737803,0
14642635,0
9803387,0
10778180,0
5074518,0
13239871,0
590022,0
12983773,0
11449231,0
14308461,0
15489547,0
14404504,0
16608600,0
12745110,0
6624867,0
464947,0
16309619,0
5621087,0
677370,0
13078950,0
11745956,0
6985710,0
16094595,0
5884310,0
15677156,0
3710129,0
4994148,0
1567423,0
15772201,0
12637318,0
8350505,0
1213437,0
13544141,0
13180329,0
9155599,0
14637502,0
13995380,0
12927939,0
4741134,0
6599671,0
15905528,0
14331359,0
2893179,0
14242611,0
11376037,0
5656710,0
14072599,0
5410625,0
14763111,0
16785213,0
8931404,0
8462794,0
12467282,0
5256797,0
6651318,0
5641217,0
13873739,0
11523077,0
14538665,0
13284163,0
14409523,0
250191,0
959874,0
10591939,0
15952583,0
10610454,0
15628106,0
14104464,0
13131175,0
16824243,0
9062398,0
16264394,0
13002594,0
14260619,0
15889693,0
7070049,0
1959704,0
16653840,0
14730030,0
16209545,0
13573489,0
5056885,0
12463417,0
16370250,0
15827667,0
10377285,0
13460081,0
16361239,0
15790208,0
13360265,0
11227572,0
9356873,0
5026687,0
11893559,0
4228861,0
13928217,0
12593749,0
12340003,0
2530214,0
16513488,0
11602034,0
2805622,0
2659100,0
5606036,0
7584171,0
14511637,0
9052891,0
4857433,0
7860284,0
16663440,0
6074519,0
15500307,0
14823612,0
14476575,0
16033929,0
6747240,0
11981275,0
3044941,0
4733973,0
3169099,0
1663031,0
174315,0
12774733,0
12539913,0
11826058,0
6160224,0
14950178,0
7744558,0
12954845,0
3883543,0
1727033,0
16243586,0
609571,0
12184542,0
15716718,0
891827,0
13738193,0
3609177,0
10943383,0
12349804,0
13150497,0
10348517,0
13358315,0
14854239,0
15636885,0
7434970,0
14808327,0
13060631,0
1340139,0
15041019,0
6381942,0
13816085,0
12097109,0
6505785,0
9266702,0
16301241,0
14367772,0
13515524,0
244013,0
10639081,0
6985683,0
12535420,0
15847632,0
10232270,0
16538827,0
13023299,0
15104802,0
16411894,0
12435324,0
11097417,0
13609351,0
16633966,0
9641539,0
11709188,0
15019146,0
13564774,0
10706945,0
13574362,0
16536983,0
16104266,0
11233921,0
16344566,0
8801580,0
14698323,0
13708921,0
8067587,0
6044683,0
8514088,0
491266,0
10257473,0
13261834,0
5156545,0
9328201,0
13277428,0
13794253,0
15532439,0
9807836,0
3094717,0
10968339,0
12579663,0
16744687,0
3802868,0
3265717,0
14746164,0
8073968,0
14279400,0
15660469,0
16674794,0
14811540,0
172787,0
13488199,0
10926961,0
6943823,0
14388037,0
16573978,0
6377406,0
9042855,0
258069,0
14094842,0
9203069,0
11926685,0
5495408,0
5939743,0
13824089,0
4116030,0
15285058,0
14706292,0
14349152,0
13787833,0
11927734,0
7585759,0
9384701,0
2221746,0
6501103,0
14702081,0
7684702,0
13845881,0
161719,0
13676676,0
6864361,0
14786515,0
16407664,0
3758990,0
5385074,0
11208015,0
1689562,0
1019131,0
14552881,0
14102379,0
15016667,0
14029553,0
13137992,0
5516751,0
12957374,0
15811688,0
12374645,0
15017872,0
13036889,0
2971063,0
8862123,0
7122022,0
4546434,0
5452457,0
11352895,0
11856423,0
1255853,0
596035,0
8261850,0
10279166,0
12738420,0
11673741,0
14543938,0
13174369,0
10523064,0
13816940,0
10186088,0
4960865,0
9818445,0
16652034,0
2701175,0
9457622,0
10044383,0
5900320,0
13917320,0
5893460,0
13241706,0
5902475,0
4446213,0
15822093,0
13682156,0
9420641,0
3402401,0
14150617,0
11717113,0
13741722,0
15931304,0
10856832,0
13958113,0
12801433,0
6841889,0
2011129,0
11731682,0
13869877,0
8967021,0
16574598,0
7118787,0
4652485,0
2749943,0
11874698,0
16152640,0
8791027,0
4406254,0
14503435,0
13799883,0
7277821,0
6229674,0
7750817,0
16377198,0
14398108,0
12244370,0
11819062,0
16205260,0
7287705,0
15490482,0
13928218,0
1454275,0
9153860,0
3972519,0
4624637,0
16284566,0
16764386,0
10942732,0
2131249,0
16648118,0
14420191,0
16595901,0
5886146,0
2571217,0
7918110,0
8764740,0
13507623,0
13375009,0
14613794,0
13540674,0
12982345,0
13623475,0
10695075,0
15351489,0
7118679,0
14014150,0
7957916,0
3499521,0
2208873,0
15016668,0
5007521,0
16248653,0
13437331,0
16031605,0
11051359,0
7209119,0
10516967,0
10973851,0
14909988,0
4345689,0
11840016,0
11706731,0
5444062,0
15894951,0
13515266,0
4985298,0
15745016,0
15731380,0
13642214,0
6453482,0
4856416,0
10778087,0
10848417,0
13787957,0
1239742,0
11993652,0
14908826,0
16797413,0
16239528,0
16568453,0
15344304,0
11321178,0
9232790,0
1545023,0
8453509,0
9114437,0
1875580,0
8584602,0
8617571,0
4471800,0
15017462,0
11531894,0
11392771,0
15936548,0
4652196,0
2348287,0
15967218,0
16628405,0
9723990,0
10320099,0
12565844,0
16382703,0
11885967,0
5581156,0
11655795,0
5609534,0
14982193,0
5728852,0
16602079,0
9703827,0
12030765,0
6724893,0
12751598,0
335896,0
14535463,0
15767188,0
7494776,0
11528245,0
3089929,0
11302842,0
14793412,0
16601757,0
3347784,0
14378544,0
15892845,0
12381150,0
16353970,0
11971355,0
10430069,0
973670,0
12322065,0
9107571,0
12364724,0
7194724,0
173370,0
413014,0
11919272,0
6522484,0
13530575,0
4298629,0
5829791,0
10639189,0
14378267,0
5271417,0
16824249,0
489325,0
253504,0
6039132,0
8872823,0
15140997,0
6334805,0
5935476,0
