1_8,1_2,4_1,1_14,1_3,1_9,1_6,3_20,1_10,3_3,1_7,1_23,1_19,3_23,3_2,3_9,1_16,4_5,1_11,1_18,1_28,3_6,1_17,3_7,1_15,3_15,6_1,3_19,3_8,1_5,1_24,1_12,3_1,1_1,3_13,1_27,1_13,1_4
0,5,0,0,0,0,15,0,0,0,0,1,0,0,4,0,0,0,10,0,0,0,1,0,0,0,0,0,2,18,0,0,0,28,0,7,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0
8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,3,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
0,11,0,0,13,1,29,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,21,0,3,0,1
0,20,0,0,16,0,8,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,4,8,0,0,0,0
0,39,0,0,37,3,67,0,19,0,2,10,0,0,0,0,0,0,7,1,0,0,2,0,13,0,0,0,0,2,0,0,0,23,0,0,0,0
3,7,0,7,12,1,17,0,1,0,2,2,0,0,0,0,0,0,13,4,0,0,5,0,0,0,0,0,0,1,0,1,0,21,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,33,0,0,13,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2,0,0,0,3,1,1,0,2,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,1,0
0,0,0,0,6,2,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2,17,0,1,28,0,31,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,8,0,2,0,26,0,0,0,0
11,2,0,0,40,0,43,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,23,0,1,0,0,0,0,5,0,4,0,4,0,8,0,0
2,5,0,2,6,10,7,0,2,0,3,0,0,0,0,0,2,0,9,3,0,0,10,0,14,0,0,0,0,10,0,2,0,39,0,0,11,3
0,0,0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
0,24,0,0,9,0,16,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,12,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,9,0,0,0,0
0,11,0,0,25,7,26,0,0,0,0,1,0,0,1,0,0,0,43,0,0,3,6,0,0,0,0,0,1,6,0,0,0,30,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
0,0,0,0,10,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,18,0,0
0,3,0,0,18,1,30,0,2,0,2,6,0,0,0,0,1,0,4,0,0,0,18,0,3,0,0,0,0,1,0,15,0,21,2,0,7,0
0,3,0,0,23,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
0,7,0,0,16,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,12,0,1,0,0
0,4,0,0,5,2,17,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16,0,0,0,2
0,1,0,0,14,0,9,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,1,0,2,0,0,0,0,10,0,0,0,10,0,0,0,0
0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0
0,0,0,0,6,0,46,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0
0,0,0,0,12,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,5,0,0
