,1,6,9,15,18,19,23,24,29,35
5,2.92,2.76,0.00,1.70,4.08,2.58,3.34,3.30,0.00,4.35
9,3.08,2.69,0.00,1.59,3.96,2.43,3.47,3.08,0.00,4.42
16,3.13,2.62,0.00,1.52,3.87,2.38,3.48,2.95,0.00,4.36
29,2.92,2.38,0.00,1.69,3.84,2.24,3.54,2.78,0.00,4.40
34,3.08,2.72,0.00,1.67,3.94,2.49,3.54,3.19,0.00,4.45
38,3.04,2.73,0.00,1.34,3.78,2.38,3.47,2.89,0.00,4.29
45,3.19,2.71,0.00,1.56,3.80,2.50,3.44,2.91,0.00,4.38
47,3.14,2.72,0.00,1.60,3.91,2.41,3.45,3.15,0.00,4.39
48,3.03,2.51,0.00,1.42,3.85,2.24,3.43,2.98,0.00,4.30
49,2.87,2.62,0.00,1.50,4.15,2.30,3.31,3.35,0.00,4.54
