3_6,3_9,3_20,1_14,1_4,1_17,4_5,1_12,1_11,1_9,1_7,3_3,1_5,1_15,3_13,1_16,1_27,1_28,1_24,1_10,3_19,1_13,1_8,6_1,3_8,1_19,3_2,3_7,1_18,1_6,1_2,3_23,1_3,3_1,1_1,3_15,1_23,4_1
0,0,0,0,0,1,0,0,10,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,2,0,4,0,0,15,5,0,0,0,28,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,18,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,8,0,10,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,4,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,8,0,1,0
0,0,0,0,1,1,0,0,3,1,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,13,0,21,0,0,0
0,0,0,0,0,4,0,0,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,20,0,16,4,8,0,0,0
0,0,0,0,0,2,0,0,7,3,2,0,2,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,67,39,0,37,0,23,0,10,0
0,0,0,7,0,5,0,1,13,1,2,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,17,7,0,12,0,21,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0,13,0,3,0,0,0
0,0,0,0,0,0,0,0,3,1,1,0,4,0,0,1,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0
0,0,0,0,0,2,0,0,8,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0
0,0,0,1,0,1,0,2,36,0,0,0,8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,31,17,0,28,0,26,0,0,0
0,0,0,0,0,23,0,4,0,0,1,0,5,1,0,0,8,0,0,2,0,0,11,0,0,0,0,0,3,43,2,0,40,0,4,0,0,0
0,0,0,2,3,10,0,2,9,10,3,0,10,14,0,2,0,0,0,2,0,11,2,0,0,0,0,0,3,7,5,0,6,0,39,0,0,0
0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,6,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,9,0,3,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,12,0,4,0,9,0,0,0
3,0,0,0,0,6,0,0,43,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,11,0,25,0,30,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,1,24,0,0,0
0,0,0,0,0,18,0,15,4,1,2,0,1,3,2,1,0,0,0,2,0,7,0,0,0,0,0,0,0,30,3,0,18,0,21,0,6,0
0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,23,0,6,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,2,0,26,0
0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0
0,0,0,0,2,1,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,5,0,16,0,1,0
0,0,0,0,0,1,0,0,10,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,14,0,10,0,2,0
0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,46,0,0,6,12,4,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,18,0,0,0
0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,4,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,4,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,3,0,13,0,1,0
0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,3,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,8,0,0,0
0,0,0,1,5,2,0,4,1,5,1,0,4,0,0,1,0,0,0,3,0,3,7,0,0,0,0,0,3,3,3,0,1,0,10,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,8,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,11,0,9,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,22,0,21,0,12,0
0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2,0
0,0,0,0,0,2,0,10,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0,0,0
